TableName	ColumnName	DataType
Site	H-ID	<class 'int'>
Site	type_id	<class 'int'>
Site	Site ID	typing.Optional[float]
Site	Pays	typing.Optional[str]
Site	Pays TRM-ID	typing.Optional[int]
Site	Region	typing.Optional[str]
Site	Departement	typing.Optional[str]
Site	Commune	typing.Optional[str]
Site	Site	typing.Optional[str]
Site	Confidence	typing.Optional[str]
Site	Confidence TRM-ID	typing.Optional[int]
Site	Mappable location	typing.Optional[str]
Site	Coordinate Reference System	typing.Optional[str]
Site	Coordinate Reference System TRM-ID	typing.Optional[int]
Epee	H-ID	<class 'int'>
Epee	type_id	<class 'int'>
Epee	ID_Epee	typing.Optional[float]
Epee	ID_Site H-ID	typing.Optional[int]
Epee	Media H-ID	list[typing.Optional[int]]
Epee	Categorie	typing.Optional[str]
Epee	Groupe	typing.Optional[str]
Epee	Type_COLUMN	typing.Optional[str]
Epee	Variante	typing.Optional[str]
Epee	Contexte	typing.Optional[str]
Epee	Contexte TRM-ID	typing.Optional[int]
Epee	Circonstances_decouverte	typing.Optional[str]
Epee	Date de decouverte	typing.Optional[str]
Epee	Mobilier_associe	typing.Optional[str]
Epee	Periode	typing.Optional[str]
Epee	Periode TRM-ID	typing.Optional[int]
Epee	Phase	typing.Optional[str]
Epee	Phase TRM-ID	typing.Optional[int]
Epee	Etape	typing.Optional[str]
Epee	Etape TRM-ID	typing.Optional[int]
Epee	Description	typing.Optional[str]
Epee	Longueur_totale	typing.Optional[float]
Epee	Longueur_poignee	typing.Optional[float]
Epee	Longueur_lame	typing.Optional[float]
Epee	Masse	typing.Optional[float]
Epee	Etat_conservation	typing.Optional[str]
Epee	Etat_conservation TRM-ID	typing.Optional[int]
Epee	Indice_confiance	typing.Optional[str]
Epee	Indice_confiance TRM-ID	typing.Optional[int]
Epee	Typo techno	typing.Optional[str]
Epee	Typo techno TRM-ID	typing.Optional[int]
Epee	Emmanchement	typing.Optional[str]
Epee	Emmanchement TRM-ID	typing.Optional[int]
Epee	Canal_pommeau	typing.Optional[str]
Epee	Canal_pommeau TRM-ID	typing.Optional[int]
Epee	Fixation_pommeau	typing.Optional[str]
Epee	Fixation_pommeau TRM-ID	typing.Optional[int]
Epee	Nb_rivets	typing.Optional[float]
Epee	Bibliographie	typing.Optional[str]
Epee	Lieu_conservation	typing.Optional[str]
Epee	Inventaire	typing.Optional[str]
Epee	Commentaires	typing.Optional[str]
